metric,m,n,d,noise,family,effect,trials,rejections,rate,wilson_lower,wilson_upper
mmd_squared,16,4,256,0.02,gaussian_mixture,1.0,100,59,0.59,0.4920143005341078,0.6813268697886348
energy_statistic,16,4,256,0.02,gaussian_mixture,1.0,100,37,0.37,0.28182360534324524,0.4677947041905709
mmd_squared,16,4,256,0.15,gaussian_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
energy_statistic,16,4,256,0.15,gaussian_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
mmd_squared,16,4,256,0.15,ring_null,1.0,100,1,0.01,0.0017674320641406505,0.054486196178705315
energy_statistic,16,4,256,0.15,ring_null,1.0,100,1,0.01,0.0017674320641406505,0.054486196178705315
mmd_squared,16,4,256,0.15,separated,0.5,100,95,0.95,0.8882495307680808,0.9784563208456319
energy_statistic,16,4,256,0.15,separated,0.5,100,95,0.95,0.8882495307680808,0.9784563208456319
mmd_squared,16,4,256,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,16,4,256,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,16,4,256,0.15,ring_disk,0.5,100,9,0.09,0.04807254000256516,0.1622621285271631
energy_statistic,16,4,256,0.15,ring_disk,0.5,100,9,0.09,0.04807254000256516,0.1622621285271631
mmd_squared,16,4,256,0.15,ring_disk,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,16,4,256,0.15,ring_disk,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,4,256,0.15,gaussian_mixture,0.5,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,16,4,256,0.15,gaussian_mixture,0.5,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,4,256,0.15,gaussian_mixture,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
energy_statistic,16,4,256,0.15,gaussian_mixture,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
mmd_squared,16,4,384,0.02,gaussian_null,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,16,4,384,0.02,gaussian_null,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
mmd_squared,16,4,384,0.02,ring_null,1.0,100,10,0.1,0.0552291370606751,0.17436566150491345
energy_statistic,16,4,384,0.02,ring_null,1.0,100,10,0.1,0.0552291370606751,0.17436566150491345
mmd_squared,16,4,384,0.02,separated,0.5,100,97,0.97,0.9154806357094724,0.9897454759759611
energy_statistic,16,4,384,0.02,separated,0.5,100,94,0.94,0.8752318455410406,0.9722138760368118
mmd_squared,16,4,384,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,16,4,384,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,16,4,384,0.02,ring_disk,0.5,100,9,0.09,0.04807254000256516,0.1622621285271631
energy_statistic,16,4,384,0.02,ring_disk,0.5,100,9,0.09,0.04807254000256516,0.1622621285271631
mmd_squared,16,4,384,0.02,ring_disk,1.0,100,12,0.12,0.06999406437019488,0.19812099426711421
energy_statistic,16,4,384,0.02,ring_disk,1.0,100,12,0.12,0.06999406437019488,0.19812099426711421
mmd_squared,16,4,384,0.02,gaussian_mixture,0.5,100,10,0.1,0.0552291370606751,0.17436566150491345
energy_statistic,16,4,384,0.02,gaussian_mixture,0.5,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,16,4,384,0.02,gaussian_mixture,1.0,100,63,0.63,0.5322052958094291,0.7181763946567546
energy_statistic,16,4,384,0.02,gaussian_mixture,1.0,100,38,0.38,0.29097599252478734,0.47790244704488916
mmd_squared,16,4,384,0.15,gaussian_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,16,4,384,0.15,gaussian_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,4,384,0.15,ring_null,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,16,4,384,0.15,ring_null,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,16,4,384,0.15,separated,0.5,100,97,0.97,0.9154806357094724,0.9897454759759611
energy_statistic,16,4,384,0.15,separated,0.5,100,97,0.97,0.9154806357094724,0.9897454759759611
mmd_squared,16,4,384,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,16,4,384,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,16,4,384,0.15,ring_disk,0.5,100,3,0.03,0.010254524024038925,0.0845193642905276
energy_statistic,16,4,384,0.15,ring_disk,0.5,100,3,0.03,0.010254524024038925,0.0845193642905276
mmd_squared,16,4,384,0.15,ring_disk,1.0,100,12,0.12,0.06999406437019488,0.19812099426711421
energy_statistic,16,4,384,0.15,ring_disk,1.0,100,12,0.12,0.06999406437019488,0.19812099426711421
mmd_squared,16,4,384,0.15,gaussian_mixture,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,16,4,384,0.15,gaussian_mixture,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,16,4,384,0.15,gaussian_mixture,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,16,4,384,0.15,gaussian_mixture,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,32,2,256,0.02,gaussian_null,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,32,2,256,0.02,gaussian_null,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
mmd_squared,32,2,256,0.02,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,32,2,256,0.02,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,32,2,256,0.02,separated,0.5,100,100,1.0,0.9630065017930143,1.0
energy_statistic,32,2,256,0.02,separated,0.5,100,100,1.0,0.9630065017930143,1.0
mmd_squared,32,2,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,32,2,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,32,2,256,0.02,ring_disk,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
